¿Cómo estás? | How are you?
¿Quién lo hizo? Fui yo. | Who did it? It was me.
Nosotras terminamos primero. | We finished first.
Usted tiene la última palabra. | You have the final word.
Ellos ya lo sabían. | They already knew it.
Tú y él son del mismo equipo. | You and he are on the same team.
Yo me encargo de esto. | I will take care of this.

El informe lo envié ayer. | I sent the report yesterday.
La factura la revisé esta mañana. | I reviewed the invoice this morning.
Los documentos los guardé en la carpeta. | I saved the documents in the folder.
Las tareas las terminamos a tiempo. | We finished the tasks on time.
¿Me escuchas bien? | Can you hear me well?
Te vi en la junta. | I saw you in the meeting.
Nos llamaron del banco. | The bank called us.
El correo no lo recibí. | I did not receive the email.
A ella la conozco del trabajo. | I know her from work.
Ese error ya lo corregí. | I already corrected that error.
Los archivos los descargué. | I downloaded the files.
La grabación la compartimos completa. | We shared the whole recording.
¿Las llaves? No las encuentro. | The keys? I cannot find them.
A ustedes los esperamos aquí. | We are waiting for you all here.
El contrato lo firmé hoy. | I signed the contract today.

Le envié el archivo al gerente. | I sent the file to the manager.
Me dieron una buena noticia. | They gave me good news.
Te explico el proceso en un minuto. | I will explain the process to you in a minute.
Les avisamos a los empleados ayer. | We notified the employees yesterday.
Nos entregaron el informe tarde. | They delivered the report to us late.
Le pregunté al cliente su opinión. | I asked the client for his opinion.
¿Te dieron la respuesta? | Did they give you the answer?
Le pagamos al proveedor a tiempo. | We paid the supplier on time.
Me hace falta un dato importante. | I am missing an important piece of data.
Les enviaré la agenda mañana. | I will send them the agenda tomorrow.
Le confirmé la fecha por correo. | I confirmed the date to him by email.
Nos conviene esperar un poco. | It suits us to wait a little.
¿Le avisaste al equipo? | Did you notify the team?
Me interesa esa propuesta. | That proposal interests me.
Le pedí un favor a mi colega. | I asked my colleague for a favor.

Se lo envié al gerente esta mañana. | I sent it to the manager this morning.
¿Me lo puedes confirmar por escrito? | Can you confirm it to me in writing?
Te lo explico con un ejemplo. | I will explain it to you with an example.
Ya se lo dije a ella. | I already told it to her.
Nos lo entregaron sin errores. | They delivered it to us without errors.
El archivo, te lo mando ahora. | The file, I will send it to you now.
Se la pasé al equipo de soporte. | I passed it on to the support team.
¿Se los enviaste a todos? | Did you send them to everyone?
Me lo pidieron con urgencia. | They asked me for it urgently.
La respuesta, se la doy mañana. | The answer, I will give it to her tomorrow.
Te los guardo en la carpeta. | I will keep them for you in the folder.
Nos la explicaron muy bien. | They explained it to us very well.
Se lo agradezco de verdad. | I truly thank him for it.
¿Me las puedes reenviar? | Can you forward them to me?
El informe se lo presenté al director. | I presented the report to the director.

Me levanto a las seis todos los días. | I get up at six every day.
Te preocupas demasiado por el plazo. | You worry too much about the deadline.
Se concentra mejor por la mañana. | He concentrates better in the morning.
Nos reunimos cada lunes. | We meet every Monday.
Me equivoqué en el cálculo. | I made a mistake in the calculation.
Se prepara para la entrevista. | She is getting ready for the interview.
Me acuerdo de esa reunión. | I remember that meeting.
Te olvidaste de firmar el documento. | You forgot to sign the document.
Nos organizamos por prioridades. | We organize ourselves by priorities.
Se dedican a mejorar el proceso. | They devote themselves to improving the process.
Me esfuerzo por aprender rápido. | I strive to learn fast.
¿Cómo te sientes con el cambio? | How do you feel about the change?
Se quejó del sistema lento. | He complained about the slow system.
Me despido y nos vemos mañana. | I say goodbye and see you tomorrow.
Nos adaptamos al nuevo horario. | We adapt to the new schedule.

Este mensaje es para mí. | This message is for me.
La decisión depende de ti. | The decision depends on you.
¿Quieres venir conmigo a la junta? | Do you want to come with me to the meeting?
Voy contigo al aeropuerto. | I am going with you to the airport.
El informe es para ustedes. | The report is for you all.
No hay nada entre tú y yo que aclarar. | There is nothing between you and me to clarify.
Según él, el plazo es corto. | According to him, the deadline is short.
Trajo los documentos consigo. | He brought the documents with him.
Habló muy bien de ti. | He spoke very well of you.
A mí me parece razonable. | To me it seems reasonable.
Cuenta conmigo para eso. | Count on me for that.
El regalo es para ella. | The gift is for her.
Todo esto lo hago por ti. | I do all of this for you.
Piensa solo en sí mismo. | He thinks only of himself.
Para nosotros, la calidad es prioridad. | For us, quality is a priority.

Mi oficina está en el tercer piso. | My office is on the third floor.
Tu propuesta es mejor que la mía. | Your proposal is better than mine.
Su decisión sorprendió a todos. | His decision surprised everyone.
Nuestro equipo cumplió la meta. | Our team met the goal.
Ese escritorio es mío. | That desk is mine.
La responsabilidad es tuya. | The responsibility is yours.
El error fue nuestro, no suyo. | The mistake was ours, not theirs.
Tus datos y los míos coinciden. | Your data and mine match.
Esta idea es suya, no mía. | This idea is his, not mine.
Nuestros clientes confían en nosotros. | Our clients trust us.
¿Este archivo es tuyo? | Is this file yours?
Mi horario cambió esta semana. | My schedule changed this week.
La culpa no es suya. | The fault is not his.
Sus resultados superaron los nuestros. | Their results beat ours.
Ese informe es el nuestro. | That report is ours.

Este informe es más completo que ese. | This report is more complete than that one.
Esa opción me parece mejor. | That option seems better to me.
Aquel proyecto quedó sin terminar. | That project was left unfinished.
¿Qué es esto? | What is this?
Eso no tiene sentido. | That does not make sense.
Esto que dices es importante. | This that you say is important.
Prefiero este método, no aquel. | I prefer this method, not that one.
Esas tareas ya están listas. | Those tasks are already done.
Aquello ocurrió hace años. | That happened years ago.
Este es el archivo correcto. | This is the correct file.
Ese fue un buen ejemplo. | That was a good example.
Estos datos son de ayer. | These data are from yesterday.
¿Recuerdas aquella reunión? | Do you remember that meeting?
Todo esto lo revisamos hoy. | We review all of this today.
Eso es exactamente lo que necesito. | That is exactly what I need.

El empleado que llegó tarde se disculpó. | The employee who arrived late apologized.
La persona con quien hablé fue clara. | The person I spoke with was clear.
Este es el informe que te mencioné. | This is the report I mentioned to you.
El cliente cuyo contrato vence hoy llamó. | The client whose contract expires today called.
La sala donde fue la junta es pequeña. | The room where the meeting was is small.
Lo que dijiste tiene mucho sentido. | What you said makes a lot of sense.
Los que terminaron pueden salir. | Those who finished may leave.
El proveedor que elegimos es confiable. | The supplier we chose is reliable.
La razón por la que llamé es simple. | The reason I called is simple.
Quien no avise, pierde su lugar. | Whoever does not notify loses their spot.
El proyecto en el que trabajo es nuevo. | The project I work on is new.
Necesito algo que funcione mejor. | I need something that works better.
Ese es el motivo por el cual esperamos. | That is the reason why we are waiting.
Lo que importa es el resultado. | What matters is the result.
La empresa cuya sede está aquí creció. | The company whose headquarters is here grew.

¿Qué necesitas de mí exactamente? | What exactly do you need from me?
¿Quién aprobó esta solicitud? | Who approved this request?
¿Cuál de las dos opciones prefieres? | Which of the two options do you prefer?
¿Cuántos casos revisaste hoy? | How many cases did you review today?
¿Cómo llegaste a esa conclusión? | How did you reach that conclusion?
¿Dónde guardaron el archivo final? | Where did they save the final file?
¿Por qué se retrasó el pago? | Why was the payment delayed?
¿Con quién debo hablar sobre esto? | Who should I talk to about this?
¿Qué tan grave es el problema? | How serious is the problem?
¿Cuál sería el siguiente paso? | What would the next step be?
¡Qué buena idea! | What a good idea!
¡Cuánto trabajo tenemos hoy! | What a lot of work we have today!
¿A qué hora empieza la junta? | What time does the meeting start?
¿De quién es esta propuesta? | Whose proposal is this?
¿Cuánto cuesta cambiar el plan? | How much does it cost to change the plan?

Alguien dejó un mensaje para ti. | Someone left a message for you.
Nadie contestó el mensaje. | Nobody answered the message.
Necesito algo más específico. | I need something more specific.
No tengo nada que agregar. | I have nothing to add.
Algún gerente debe aprobarlo. | Some manager must approve it.
Ninguno de los archivos se abrió. | None of the files opened.
Todos los datos están correctos. | All the data are correct.
Cada uno tiene su tarea asignada. | Each one has their assigned task.
Cualquiera puede cometer ese error. | Anyone can make that mistake.
Algunos llegaron tarde a la junta. | Some arrived late to the meeting.
No vino nadie a la reunión. | Nobody came to the meeting.
Hay algo raro en el sistema. | There is something strange in the system.
Ninguna opción me convence. | No option convinces me.
Todo el equipo participó. | The whole team participated.
Elige cualquiera de los dos. | Choose either of the two.
Hola, ¿cómo estás? | Hello, how are you?
Estoy muy bien, gracias. | I am very well, thank you.
¿Cómo te llamas? | What is your name?
Me llamo Anderson. | My name is Anderson.
Mucho gusto en conocerte. | Nice to meet you.
¿De dónde eres? | Where are you from?
Soy de Brasil. | I am from Brazil.
Vivo en São Paulo. | I live in São Paulo.
Estoy aprendiendo español. | I am learning Spanish.
También quiero mejorar mi inglés. | I also want to improve my English.
¿Puedes hablar más despacio? | Can you speak more slowly?
¿Puedes repetir la frase? | Can you repeat the sentence?
No entendí esa palabra. | I did not understand that word.
¿Qué significa esta expresión? | What does this expression mean?
¿Cómo se dice esto en inglés? | How do you say this in English?
Entiendo casi todo. | I understand almost everything.
Necesito practicar un poco más. | I need to practice a little more.
Quiero hablar con confianza. | I want to speak with confidence.
Estoy listo para empezar. | I am ready to begin.
Vamos a practicar juntos. | Let us practice together.
Buenos días a todos. | Good morning, everyone.
Buenas tardes, señora. | Good afternoon, ma'am.
Buenas noches, señor. | Good evening, sir.
Hasta mañana. | See you tomorrow.
Nos vemos más tarde. | See you later.
Que tengas un buen día. | Have a good day.
Gracias por tu ayuda. | Thank you for your help.
De nada, fue un placer. | You are welcome, it was a pleasure.
Por favor, siéntate aquí. | Please, sit here.
Perdón por el retraso. | Sorry for the delay.
No hay ningún problema. | There is no problem.
Con permiso, voy a pasar. | Excuse me, I am going through.
Lo siento mucho. | I am very sorry.
Estoy de acuerdo contigo. | I agree with you.
No estoy de acuerdo con eso. | I do not agree with that.
Tal vez tengas razón. | Maybe you are right.
Claro que sí. | Of course.
Por supuesto que puedo ayudarte. | Of course I can help you.
Depende de la situación. | It depends on the situation.
Déjame pensarlo un momento. | Let me think about it for a moment.
No estoy seguro todavía. | I am not sure yet.
Eso me parece bien. | That sounds good to me.
¿Qué opinas de esta idea? | What do you think about this idea?
Creo que es una buena opción. | I think it is a good option.
Prefiero la primera alternativa. | I prefer the first alternative.
¿Puedes darme un ejemplo? | Can you give me an example?
Ahora lo entiendo mejor. | Now I understand it better.
Gracias por la explicación. | Thank you for the explanation.
Fue un gusto hablar contigo. | It was nice talking to you.
Espero verte pronto. | I hope to see you soon.

Trabajo en Recursos Humanos. | I work in Human Resources.
Soy responsable de la nómina. | I am responsible for payroll.
Necesito revisar este informe. | I need to review this report.
¿Puedes enviarme el archivo? | Can you send me the file?
Ya envié el correo electrónico. | I already sent the email.
Todavía no recibí una respuesta. | I have not received a response yet.
Voy a verificar mi bandeja de entrada. | I am going to check my inbox.
El documento está adjunto. | The document is attached.
No puedo abrir el archivo. | I cannot open the file.
¿Puedes enviarlo nuevamente? | Can you send it again?
La información está actualizada. | The information is up to date.
Encontré una diferencia en los valores. | I found a difference in the amounts.
Necesitamos comprobar los datos. | We need to verify the data.
El sistema está funcionando correctamente. | The system is working correctly.
Hay un error en la plataforma. | There is an error on the platform.
Voy a abrir un ticket. | I am going to open a ticket.
¿Cuál es el número del caso? | What is the case number?
El equipo técnico está investigando. | The technical team is investigating.
Esperamos una solución hoy. | We expect a solution today.
Te avisaré cuando tenga noticias. | I will let you know when I have news.
Esta tarea tiene alta prioridad. | This task has high priority.
El plazo termina mañana. | The deadline ends tomorrow.
Necesitamos terminar antes del mediodía. | We need to finish before noon.
Voy a actualizar el control. | I am going to update the tracker.
La planilla contiene todos los registros. | The spreadsheet contains all the records.
Falta completar dos columnas. | Two columns still need to be completed.
Por favor, revisa los campos obligatorios. | Please review the required fields.
Los números no coinciden. | The numbers do not match.
Voy a cruzar las dos bases. | I am going to cross-check the two databases.
El resultado parece correcto. | The result seems correct.
Necesitamos una segunda revisión. | We need a second review.
Aplicaremos el principio de cuatro ojos. | We will apply the four-eyes principle.
¿Quién aprobará la solicitud? | Who will approve the request?
La aprobación sigue pendiente. | The approval is still pending.
El gerente ya dio su visto bueno. | The manager has already given approval.
Podemos continuar con el proceso. | We can continue with the process.
Voy a documentar esta decisión. | I am going to document this decision.
Guardaremos todas las evidencias. | We will keep all the evidence.
La carpeta está organizada por mes. | The folder is organized by month.
Este archivo contiene datos confidenciales. | This file contains confidential data.
No compartas esta información externamente. | Do not share this information externally.
Debemos respetar la política de privacidad. | We must follow the privacy policy.
Voy a ocultar los datos personales. | I am going to hide the personal data.
El acceso está restringido al equipo. | Access is restricted to the team.
Necesito permiso para continuar. | I need permission to continue.
La solicitud fue autorizada. | The request was authorized.
El proceso está casi completo. | The process is almost complete.
Solo falta la validación final. | Only the final validation is missing.
Enviaré el resultado al equipo. | I will send the result to the team.
Gracias por la rápida respuesta. | Thank you for the quick response.

La nómina se cierra mañana. | Payroll closes tomorrow.
El pago será el último día hábil. | Payment will be made on the last business day.
Necesitamos validar los salarios. | We need to validate the salaries.
El salario fue actualizado este mes. | The salary was updated this month.
La comisión está incluida en la nómina. | The commission is included in payroll.
Falta calcular el descanso semanal remunerado. | The paid weekly rest still needs to be calculated.
El bono tiene carácter excepcional. | The bonus is exceptional in nature.
Este pago no crea un derecho adquirido. | This payment does not create a vested right.
Los descuentos legales serán aplicados. | Statutory deductions will be applied.
El impuesto fue calculado correctamente. | The tax was calculated correctly.
La contribución fue enviada al gobierno. | The contribution was sent to the government.
Necesitamos corregir la declaración. | We need to correct the filing.
La corrección puede tardar treinta días. | The correction may take thirty days.
El empleado fue contratado hoy. | The employee was hired today.
La fecha de admisión es correcta. | The hire date is correct.
El contrato está listo para firmar. | The contract is ready to be signed.
Falta la firma del gerente. | The manager's signature is missing.
La empleada está de vacaciones. | The employee is on vacation.
Debemos programar las vacaciones con anticipación. | We must schedule vacation in advance.
El aviso debe enviarse treinta días antes. | The notice must be sent thirty days in advance.
El período de vacaciones vence en octubre. | The vacation period expires in October.
El empleado solicitó su renuncia. | The employee submitted his resignation.
La rescisión será procesada hoy. | The termination will be processed today.
Necesitamos calcular las indemnizaciones. | We need to calculate the severance payments.
Los beneficios terminan este mes. | Benefits end this month.
El seguro médico sigue activo. | The health insurance is still active.
Debemos cancelar el acceso al sistema. | We must cancel system access.
El examen médico ya fue programado. | The medical examination has already been scheduled.
El certificado médico fue recibido. | The medical certificate was received.
El documento tiene una firma válida. | The document has a valid signature.
El registro de jornada está incompleto. | The time record is incomplete.
Falta registrar la hora de salida. | The clock-out time is missing.
Las horas extra necesitan autorización. | Overtime requires authorization.
El empleado trabajó el sábado. | The employee worked on Saturday.
Debemos revisar el horario contractual. | We must review the contractual schedule.
La tolerancia diaria es de diez minutos. | The daily tolerance is ten minutes.
El intervalo para almorzar es de una hora. | The lunch break is one hour.
El convenio colectivo fue actualizado. | The collective bargaining agreement was updated.
Debemos respetar la fecha base. | We must observe the collective bargaining date.
El sindicato recibió la propuesta. | The union received the proposal.
La negociación continuará la próxima semana. | The negotiation will continue next week.
El reajuste salarial será retroactivo. | The salary adjustment will be retroactive.
La diferencia será pagada en la próxima nómina. | The difference will be paid in the next payroll.
El empleado cambió de puesto. | The employee changed positions.
La transferencia fue aprobada. | The transfer was approved.
El nuevo gerente empieza el lunes. | The new manager starts on Monday.
La descripción del puesto está actualizada. | The job description is up to date.
Necesitamos confirmar el código ocupacional. | We need to confirm the occupational code.
La vacante sigue abierta. | The position is still open.
La candidata aceptó la oferta. | The candidate accepted the offer.

¿Podemos empezar la reunión? | Can we start the meeting?
Voy a compartir mi pantalla. | I am going to share my screen.
¿Puedes ver mi pantalla? | Can you see my screen?
No puedo oírte. | I cannot hear you.
Tu micrófono está apagado. | Your microphone is muted.
La conexión está inestable. | The connection is unstable.
Voy a entrar nuevamente. | I am going to join again.
Esperemos dos minutos más. | Let us wait two more minutes.
Todos están presentes. | Everyone is present.
Comencemos con la agenda. | Let us begin with the agenda.
El primer tema es la nómina. | The first topic is payroll.
Tengo una pregunta sobre el proceso. | I have a question about the process.
Necesito una aclaración. | I need clarification.
¿Puedes explicar ese punto? | Can you explain that point?
Eso tiene sentido. | That makes sense.
No comprendí la última parte. | I did not understand the last part.
Volvamos al tema principal. | Let us return to the main topic.
¿Cuál es el siguiente paso? | What is the next step?
¿Quién será el responsable? | Who will be responsible?
¿Cuándo estará listo? | When will it be ready?
La fecha límite es el viernes. | The deadline is Friday.
El principal cuello de botella está aquí. | The main bottleneck is here.
Esta actividad depende de otro equipo. | This activity depends on another team.
Necesitamos adaptar el proceso localmente. | We need to adapt the process locally.
El proceso global es diferente. | The global process is different.
Brasil tiene requisitos específicos. | Brazil has specific requirements.
México compartirá el modelo. | Mexico will share the model.
Voy a registrar los acuerdos. | I am going to record the agreements.
Enviaré el acta después de la reunión. | I will send the minutes after the meeting.
Tenemos tres acciones pendientes. | We have three pending actions.
La primera acción ya está terminada. | The first action is already finished.
La segunda acción está en curso. | The second action is in progress.
La tercera acción aún no comenzó. | The third action has not started yet.
Necesitamos revisar las prioridades. | We need to review the priorities.
Este riesgo necesita mitigación. | This risk needs mitigation.
Prepararemos un plan de acción. | We will prepare an action plan.
Cada acción tendrá un responsable. | Each action will have an owner.
Vamos a monitorear el progreso semanalmente. | We will monitor progress weekly.
El indicador mejoró este mes. | The indicator improved this month.
El resultado está por debajo de la meta. | The result is below target.
Necesitamos analizar la causa raíz. | We need to analyze the root cause.
Los datos muestran una tendencia positiva. | The data show a positive trend.
El volumen aumentó un veinte por ciento. | Volume increased by twenty percent.
El costo por empleado disminuyó. | The cost per employee decreased.
La productividad se mantuvo estable. | Productivity remained stable.
La automatización ahorrará tiempo. | Automation will save time.
Podemos eliminar esta tarea manual. | We can eliminate this manual task.
Voy a presentar una demostración. | I am going to present a demonstration.
¿Alguien tiene otra pregunta? | Does anyone have another question?
Gracias a todos por participar. | Thank you all for participating.

¿Qué hora es? | What time is it?
Son las ocho de la mañana. | It is eight in the morning.
La reunión empieza a las nueve. | The meeting starts at nine.
Hoy es lunes. | Today is Monday.
Mañana será martes. | Tomorrow will be Tuesday.
Ayer fue domingo. | Yesterday was Sunday.
Estamos en agosto. | It is August.
Mi cumpleaños es en noviembre. | My birthday is in November.
La fecha de hoy es quince de agosto. | Today's date is August fifteenth.
Llegaré en diez minutos. | I will arrive in ten minutes.
Estoy llegando ahora. | I am arriving now.
Llegué hace cinco minutos. | I arrived five minutes ago.
¿Cuándo tienes tiempo? | When do you have time?
Tengo tiempo por la tarde. | I have time in the afternoon.
Esta semana está muy ocupada. | This week is very busy.
La próxima semana será mejor. | Next week will be better.
Tenemos una cita mañana. | We have an appointment tomorrow.
El evento será el próximo mes. | The event will be next month.
La capacitación dura dos horas. | The training lasts two hours.
La sesión terminó temprano. | The session ended early.
Trabajamos de lunes a viernes. | We work from Monday to Friday.
La oficina abre a las ocho. | The office opens at eight.
La tienda cierra a las seis. | The store closes at six.
El plazo vence al mediodía. | The deadline expires at noon.
Enviaré el documento antes de las cinco. | I will send the document before five.
Terminé el informe anoche. | I finished the report last night.
Empecé este proyecto en abril. | I started this project in April.
Trabajo aquí desde hace cinco años. | I have worked here for five years.
Viví allí durante dos meses. | I lived there for two months.
Volveré dentro de una hora. | I will return in an hour.
Espera un momento, por favor. | Wait a moment, please.
Necesito unos minutos más. | I need a few more minutes.
Lo terminaré lo antes posible. | I will finish it as soon as possible.
La respuesta llegó a tiempo. | The response arrived on time.
El pago está atrasado. | The payment is late.
La factura vence hoy. | The invoice is due today.
El contrato comienza el primero de septiembre. | The contract begins on September first.
El período termina el treinta de marzo. | The period ends on March thirtieth.
El sistema estará fuera de servicio esta noche. | The system will be unavailable tonight.
El mantenimiento empieza a las dos. | Maintenance starts at two.
El acceso volverá mañana. | Access will return tomorrow.
Programé una alarma para las siete. | I set an alarm for seven.
Cambiaré la fecha de la reunión. | I will change the meeting date.
¿Podemos adelantar la llamada? | Can we move the call earlier?
Necesitamos posponer la decisión. | We need to postpone the decision.
La entrega fue reprogramada. | The delivery was rescheduled.
El calendario está actualizado. | The calendar is up to date.
Tengo otra reunión después de esta. | I have another meeting after this one.
Hablemos nuevamente el jueves. | Let us talk again on Thursday.
Nos reuniremos cada dos semanas. | We will meet every two weeks.

¿Dónde está el aeropuerto? | Where is the airport?
Necesito pedir un taxi. | I need to call a taxi.
¿A qué hora sale el vuelo? | What time does the flight leave?
Mi vuelo está retrasado. | My flight is delayed.
El vuelo fue cancelado. | The flight was canceled.
Tengo una reserva a mi nombre. | I have a reservation under my name.
Quisiera hacer el registro. | I would like to check in.
¿Puedo ver su pasaporte? | May I see your passport?
Aquí tiene mi documento. | Here is my document.
¿Dónde está la puerta de embarque? | Where is the boarding gate?
La puerta cambió hace poco. | The gate changed recently.
El embarque comienza en veinte minutos. | Boarding begins in twenty minutes.
Solo llevo equipaje de mano. | I only have carry-on luggage.
Mi maleta es muy pesada. | My suitcase is very heavy.
¿Dónde puedo recoger el equipaje? | Where can I collect my luggage?
Mi maleta no llegó. | My suitcase did not arrive.
Necesito completar este formulario. | I need to complete this form.
¿Cuál es la dirección del hotel? | What is the hotel's address?
El hotel está cerca del centro. | The hotel is near downtown.
Tengo una habitación reservada. | I have a room reserved.
Quisiera registrarme, por favor. | I would like to check in, please.
¿El desayuno está incluido? | Is breakfast included?
¿A qué hora sirven el desayuno? | What time is breakfast served?
Mi habitación está en el tercer piso. | My room is on the third floor.
Necesito la contraseña del wifi. | I need the Wi-Fi password.
El aire acondicionado no funciona. | The air conditioning does not work.
¿Pueden cambiarme de habitación? | Can you change my room?
Necesito una toalla limpia. | I need a clean towel.
Quisiera solicitar la salida tardía. | I would like to request a late checkout.
¿Dónde está la estación de metro? | Where is the subway station?
¿Cómo llego al centro? | How do I get downtown?
Sigue todo recto. | Go straight ahead.
Gira a la derecha en la esquina. | Turn right at the corner.
Gira a la izquierda después del puente. | Turn left after the bridge.
Está cerca de aquí. | It is near here.
Está un poco lejos. | It is a little far.
Puedes ir caminando. | You can walk there.
Toma la segunda calle. | Take the second street.
Cruza la avenida con cuidado. | Cross the avenue carefully.
El museo está frente al parque. | The museum is across from the park.
El banco está al lado de la farmacia. | The bank is next to the pharmacy.
La estación queda detrás del edificio. | The station is behind the building.
Me perdí en el camino. | I got lost on the way.
¿Puedes mostrarme el mapa? | Can you show me the map?
Quiero visitar el centro histórico. | I want to visit the historic center.
¿Hay una visita guiada en inglés? | Is there a guided tour in English?
Necesito comprar un boleto. | I need to buy a ticket.
¿Cuánto dura el viaje? | How long does the trip take?
Mañana regreso a Brasil. | Tomorrow I return to Brazil.
Este viaje fue inolvidable. | This trip was unforgettable.

Tengo hambre. | I am hungry.
Tengo sed. | I am thirsty.
Quisiera una mesa para dos. | I would like a table for two.
¿Tienen una mesa disponible? | Do you have a table available?
¿Puedo ver el menú? | May I see the menu?
¿Qué me recomienda? | What do you recommend?
Quisiera pedir una ensalada. | I would like to order a salad.
Voy a pedir el plato del día. | I will order the dish of the day.
¿Este plato contiene carne? | Does this dish contain meat?
No como alimentos picantes. | I do not eat spicy food.
Soy alérgico a los frutos secos. | I am allergic to nuts.
¿Tienen opciones vegetarianas? | Do you have vegetarian options?
Quiero la carne bien cocida. | I want the meat well done.
La sopa está demasiado caliente. | The soup is too hot.
La comida está deliciosa. | The food is delicious.
Necesito un poco más de sal. | I need a little more salt.
¿Puedes traer más agua? | Can you bring more water?
Quisiera otro café. | I would like another coffee.
Sin azúcar, por favor. | Without sugar, please.
La cuenta, por favor. | The check, please.
¿El servicio está incluido? | Is service included?
Voy a pagar con tarjeta. | I am going to pay by card.
¿Aceptan pagos sin contacto? | Do you accept contactless payments?
Necesito un recibo. | I need a receipt.
El precio parece correcto. | The price seems correct.
¿Cuánto cuesta esta camisa? | How much does this shirt cost?
¿Tiene una talla más grande? | Do you have a larger size?
¿Puedo probarme estos zapatos? | Can I try on these shoes?
El probador está al fondo. | The fitting room is in the back.
Esta chaqueta me queda bien. | This jacket fits me well.
El pantalón está demasiado ajustado. | The pants are too tight.
Prefiero el color azul. | I prefer the color blue.
¿Hay algún descuento? | Is there any discount?
Este producto está en oferta. | This product is on sale.
Quiero devolver este artículo. | I want to return this item.
Tengo el comprobante de compra. | I have the proof of purchase.
El producto llegó dañado. | The product arrived damaged.
Quisiera cambiarlo por otro. | I would like to exchange it for another one.
La tienda está cerrada. | The store is closed.
El supermercado abre los domingos. | The supermarket opens on Sundays.
Necesito comprar leche y pan. | I need to buy milk and bread.
También necesitamos frutas frescas. | We also need fresh fruit.
¿Dónde están los productos de limpieza? | Where are the cleaning products?
El carrito está lleno. | The cart is full.
Olvidé traer una bolsa. | I forgot to bring a bag.
La fila está muy larga. | The line is very long.
Esta caja está disponible. | This checkout is available.
El pago fue aprobado. | The payment was approved.
La tarjeta fue rechazada. | The card was declined.
Gracias por su compra. | Thank you for your purchase.

Mi familia vive en Brasil. | My family lives in Brazil.
Tengo dos hermanos. | I have two brothers.
Mi hermana es más joven que yo. | My sister is younger than me.
Mis padres viven cerca. | My parents live nearby.
Visitamos a mis abuelos los domingos. | We visit my grandparents on Sundays.
Mi hijo estudia por la mañana. | My son studies in the morning.
Mi hija está aprendiendo a leer. | My daughter is learning to read.
Tenemos un perro muy amigable. | We have a very friendly dog.
El gato está durmiendo en el sofá. | The cat is sleeping on the couch.
Nuestra casa tiene tres habitaciones. | Our house has three bedrooms.
La cocina es pequeña pero cómoda. | The kitchen is small but comfortable.
El baño está al final del pasillo. | The bathroom is at the end of the hall.
La ventana está abierta. | The window is open.
Cierra la puerta, por favor. | Close the door, please.
La llave está sobre la mesa. | The key is on the table.
No encuentro mi teléfono. | I cannot find my phone.
Mira debajo de la cama. | Look under the bed.
La luz del dormitorio está encendida. | The bedroom light is on.
Apaga la televisión. | Turn off the television.
El internet dejó de funcionar. | The internet stopped working.
Voy a llamar al proveedor. | I am going to call the provider.
La tubería tiene una fuga. | The pipe has a leak.
Necesitamos llamar a un técnico. | We need to call a technician.
El ascensor está fuera de servicio. | The elevator is out of service.
Vivimos en el quinto piso. | We live on the fifth floor.
Los vecinos son muy tranquilos. | The neighbors are very quiet.
El barrio es seguro. | The neighborhood is safe.
Hay un parque cerca de casa. | There is a park near our house.
Me gusta caminar por la mañana. | I like walking in the morning.
Hoy hace mucho calor. | It is very hot today.
Hace frío por la mañana. | It is cold in the morning.
Está lloviendo mucho. | It is raining heavily.
El cielo está nublado. | The sky is cloudy.
Mañana estará soleado. | Tomorrow will be sunny.
Necesito llevar un paraguas. | I need to take an umbrella.
No me siento bien. | I do not feel well.
Me duele la cabeza. | I have a headache.
Tengo dolor de garganta. | I have a sore throat.
Creo que tengo fiebre. | I think I have a fever.
Necesito ir al médico. | I need to see a doctor.
¿Tiene una cita programada? | Do you have an appointment scheduled?
Estoy tomando este medicamento. | I am taking this medication.
Debes descansar y beber agua. | You should rest and drink water.
Me siento mucho mejor hoy. | I feel much better today.
Intento comer de forma saludable. | I try to eat healthily.
Camino treinta minutos al día. | I walk for thirty minutes a day.
Necesito dormir más. | I need to sleep more.
El descanso es importante. | Rest is important.
Estoy cuidando mejor mi salud. | I am taking better care of my health.
Mi familia me apoya mucho. | My family supports me a lot.

Yo trabajo desde casa. | I work from home.
Tú hablas español muy bien. | You speak Spanish very well.
Él necesita nuestra ayuda. | He needs our help.
Ella está en una reunión. | She is in a meeting.
Nosotros aprendemos juntos. | We learn together.
Ustedes llegaron temprano. | You arrived early.
Ellos viven cerca de la oficina. | They live near the office.
Quiero hacerlo hoy. | I want to do it today.
Puedo ayudarte ahora. | I can help you now.
Debo terminar el informe. | I must finish the report.
Voy a llamar más tarde. | I am going to call later.
Acabo de enviar el mensaje. | I have just sent the message.
Estoy revisando los números. | I am reviewing the numbers.
Ya hemos terminado. | We have already finished.
Nunca he estado en México. | I have never been to Mexico.
Ayer hablé con el gerente. | Yesterday I spoke with the manager.
La semana pasada recibimos el archivo. | Last week we received the file.
Antes trabajaba en otra empresa. | I used to work at another company.
Cuando era niño, vivía en el campo. | When I was a child, I lived in the countryside.
Mañana presentaré los resultados. | Tomorrow I will present the results.
El próximo año aprenderé otro idioma. | Next year I will learn another language.
Si tengo tiempo, lo haré. | If I have time, I will do it.
